Mean,Standart_Deviation,Energy,Entropy,Skewness,Class
94.036815758,84.9597843226,0.3687718265,0.3687718265,47195727222.3,2
108.136775775,82.6150933981,0.4240657874,0.4240657874,47949115524.7,0
119.379465473,78.6761455546,0.4681547666,0.4681547666,6681166518.24,0
107.660716756,82.5970771249,0.4221988892,0.4221988892,29562557808,0
109.781265916,81.7620997654,0.4305147683,0.4305147683,21935755028.6,0
130.431266324,70.9905581816,0.5114951621,0.5114951621,7781080416.22,1
108.181313528,82.4908278908,0.4242404452,0.4242404452,42992386907.1,1
106.10118545,82.8227893543,0.4160830802,0.4160830802,52359411154.6,0
129.071411042,73.2429760514,0.5061623962,0.5061623962,13203902224.7,1
128.633396667,73.6217139807,0.5044446928,0.5044446928,7001751796.03,0
108.215198294,82.2954115908,0.4243733266,0.4243733266,27903520195.5,0
107.537333641,82.3224106257,0.4217150339,0.4217150339,27546055527.3,0
111.584885002,81.3076662327,0.4375877843,0.4375877843,9075600278.13,0
106.407529098,82.6457120956,0.4172844278,0.4172844278,21362598448,0
91.5751079863,86.0016879726,0.3591180705,0.3591180705,41941063377.3,0
94.5596630308,85.1241218297,0.370822208,0.370822208,45755869622,2
108.810918327,82.3035928611,0.4267094836,0.4267094836,61763650547.7,1
103.282839974,83.4674718194,0.405030745,0.405030745,42639281102,2
105.186580743,83.0048518086,0.4124963951,0.4124963951,42546854995.9,0
116.722040279,79.6785288429,0.4577334913,0.4577334913,18395418235.2,0
118.29554442,79.0564288843,0.4639040958,0.4639040958,13919421000.8,2
128.134799273,73.4068237025,0.5024894089,0.5024894089,3221741591.84,0
130.309329434,71.0671576496,0.5110169782,0.5110169782,9976686288.21,1
128.497137682,73.0672093936,0.5039103439,0.5039103439,3479243811.01,0
128.318779915,73.2409951755,0.5032109016,0.5032109016,1421844076.43,1
115.297154617,79.8097524404,0.4521457044,0.4521457044,27922850574.7,0
128.883978959,72.7299758215,0.5054273685,0.5054273685,8145990591.89,0
118.126057569,79.1328360347,0.4632394414,0.4632394414,13624013388.7,2
129.70881459,72.5962428668,0.508662018,0.508662018,5010575863.73,0
128.853671042,73.2666198788,0.5053085139,0.5053085139,2378513631.41,1
118.191331664,78.6112949834,0.4634954183,0.4634954183,15400388725.2,2
125.349588485,74.8077039285,0.4915670137,0.4915670137,7850087207.97,0
127.281572229,73.4416703152,0.4991434205,0.4991434205,15755686710.9,1
126.254009999,75.0247692531,0.4951137647,0.4951137647,-1672434124.45,0
126.975294926,73.788121593,0.497942333,0.497942333,5731424899.92,0
129.373738544,71.9976943996,0.5073479943,0.5073479943,12263911280.7,2
128.319018979,73.6380169241,0.5032118391,0.5032118391,2441147534.78,2
128.458446193,73.4264593451,0.5037586125,0.5037586125,3229426210.86,0
114.680071216,79.9962978718,0.4497257695,0.4497257695,17325806153.7,0
128.634103618,73.0709690496,0.5044474652,0.5044474652,6363538061.2,0
128.167721545,73.7846544065,0.5026185159,0.5026185159,-448742290.673,2
